,ID,Timestamp,Type,Occurences,StackFrame0,StackFrame0_Function,StackFrame0_File,StackFrame0_Line,StackFrame1,StackFrame1_Function,StackFrame1_File,StackFrame1_Line,StackFrame2,StackFrame2_Function,StackFrame2_File,StackFrame2_Line,StackFrame3,StackFrame3_Function,StackFrame3_File,StackFrame3_Line,StackFrame4,StackFrame4_Function,StackFrame4_File,StackFrame4_Line,StackFrame5,StackFrame5_Function,StackFrame5_File,StackFrame5_Line,StackFrame6,StackFrame6_Function,StackFrame6_File,StackFrame6_Line,StackFrame7,StackFrame7_Function,StackFrame7_File,StackFrame7_Line,StackFrame8,StackFrame8_Function,StackFrame8_File,StackFrame8_Line,StackFrame9,StackFrame9_Function,StackFrame9_File,StackFrame9_Line,StackFrame10,StackFrame10_Function,StackFrame10_File,StackFrame10_Line,StackFrame11,StackFrame11_Function,StackFrame11_File,StackFrame11_Line,StackFrame12,StackFrame12_Function,StackFrame12_File,StackFrame12_Line,StackFrame13,StackFrame13_Function,StackFrame13_File,StackFrame13_Line,StackFrame14,StackFrame14_Function,StackFrame14_File,StackFrame14_Line,StackFrame15,StackFrame15_Function,StackFrame15_File,StackFrame15_Line,StackFrame16,StackFrame16_Function,StackFrame16_File,StackFrame16_Line,StackFrame17,StackFrame17_Function,StackFrame17_File,StackFrame17_Line,StackFrame18,StackFrame18_Function,StackFrame18_File,StackFrame18_Line,StackFrame19,StackFrame19_Function,StackFrame19_File,StackFrame19_Line,StackFrame20,StackFrame20_Function,StackFrame20_File,StackFrame20_Line,StackFrame21,StackFrame21_Function,StackFrame21_File,StackFrame21_Line,StackFrame22,StackFrame22_Function,StackFrame22_File,StackFrame22_Line,StackFrame23,StackFrame23_Function,StackFrame23_File,StackFrame23_Line,StackFrame24,StackFrame24_Function,StackFrame24_File,StackFrame24_Line,UniqueBugsAtTime,BugDiagnosis
0,11491517297978859604,2960033,flush (never modified),2640,pmem_clwb at ../../src/../src/libpmem2/x86_64/flush.h:48,pmem_clwb,../../src/../src/libpmem2/x86_64/flush.h,48,flush_clwb_nolog at ../../src/../src/libpmem2/x86_64/flush.h:104,flush_clwb_nolog,../../src/../src/libpmem2/x86_64/flush.h,104,flush_clwb at ../../src/../src/libpmem2/x86_64/init.c:60,flush_clwb,../../src/../src/libpmem2/x86_64/init.c,60,pmem_flush at pmem.c:232,pmem_flush,pmem.c,232,pmem_persist at pmem.c:243,pmem_persist,pmem.c,243,util_persist at ../common/util_pmem.h:27,util_persist,../common/util_pmem.h,27,util_persist_auto at ../common/util_pmem.h:40,util_persist_auto,../common/util_pmem.h,40,util_header_create at ../../src/../src/common/set.c:2326,util_header_create,../../src/../src/common/set.c,2326,util_replica_init_headers_local at ../../src/../src/common/set.c:2777,util_replica_init_headers_local,../../src/../src/common/set.c,2777.0,util_replica_create_local at ../../src/../src/common/set.c:2823,util_replica_create_local,../../src/../src/common/set.c,2823.0,util_pool_create_uuids at ../../src/../src/common/set.c:3313,util_pool_create_uuids,../../src/../src/common/set.c,3313.0,util_pool_create at ../../src/../src/common/set.c:3356,util_pool_create,../../src/../src/common/set.c,3356.0,pmemobj_createU at obj.c:1343,pmemobj_createU,obj.c,1343.0,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423.0,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
1,4725350359751099680,4770692,flush (never modified),960,pmem_clwb at ../../src/../src/libpmem2/x86_64/flush.h:48,pmem_clwb,../../src/../src/libpmem2/x86_64/flush.h,48,flush_clwb_nolog at ../../src/../src/libpmem2/x86_64/flush.h:104,flush_clwb_nolog,../../src/../src/libpmem2/x86_64/flush.h,104,flush_clwb at ../../src/../src/libpmem2/x86_64/init.c:60,flush_clwb,../../src/../src/libpmem2/x86_64/init.c,60,pmem_flush at pmem.c:232,pmem_flush,pmem.c,232,pmem_persist at pmem.c:243,pmem_persist,pmem.c,243,util_persist at ../common/util_pmem.h:27,util_persist,../common/util_pmem.h,27,util_persist_auto at ../common/util_pmem.h:40,util_persist_auto,../common/util_pmem.h,40,util_header_create at ../../src/../src/common/set.c:2326,util_header_create,../../src/../src/common/set.c,2326,util_replica_init_headers_local at ../../src/../src/common/set.c:2777,util_replica_init_headers_local,../../src/../src/common/set.c,2777.0,util_replica_create_local at ../../src/../src/common/set.c:2823,util_replica_create_local,../../src/../src/common/set.c,2823.0,util_pool_create_uuids at ../../src/../src/common/set.c:3313,util_pool_create_uuids,../../src/../src/common/set.c,3313.0,util_pool_create at ../../src/../src/common/set.c:3356,util_pool_create,../../src/../src/common/set.c,3356.0,pmemobj_createU at obj.c:1343,pmemobj_createU,obj.c,1343.0,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423.0,__klee_posix_wrapped_main at nvmbugs/hashmap_atomic/driver.c:125,__klee_posix_wrapped_main,nvmbugs/hashmap_atomic/driver.c,125.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
2,7167309609984635970,16150143,flush (never modified),688128,pmem_clwb at ../../src/../src/libpmem2/x86_64/flush.h:48,pmem_clwb,../../src/../src/libpmem2/x86_64/flush.h,48,flush_clwb_nolog at ../../src/../src/libpmem2/x86_64/flush.h:104,flush_clwb_nolog,../../src/../src/libpmem2/x86_64/flush.h,104,flush_clwb at ../../src/../src/libpmem2/x86_64/init.c:60,flush_clwb,../../src/../src/libpmem2/x86_64/init.c,60,pmem_flush at pmem.c:232,pmem_flush,pmem.c,232,pmem_persist at pmem.c:243,pmem_persist,pmem.c,243,obj_norep_persist at obj.c:464,obj_norep_persist,obj.c,464,pmemops_xpersist.664 at ./pmemops.h:51,pmemops_xpersist.664,./pmemops.h,51,lane_init_data at lane.c:320,lane_init_data,lane.c,320,obj_descr_create at obj.c:887,obj_descr_create,obj.c,887.0,pmemobj_createU at obj.c:1382,pmemobj_createU,obj.c,1382.0,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423.0,__klee_posix_wrapped_main at nvmbugs/hashmap_atomic/driver.c:125,__klee_posix_wrapped_main,nvmbugs/hashmap_atomic/driver.c,125.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
3,18121528560139973239,20658630,write (unpersisted),1070,memset at libc/string/memset.c:28,memset,libc/string/memset.c,28,pmemobj_createU at obj.c:1362,pmemobj_createU,obj.c,1362,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
4,7155781034659032145,20696136,write (unpersisted),1070,obj_replica_init at obj.c:1111,obj_replica_init,obj.c,1111,pmemobj_createU at obj.c:1369,pmemobj_createU,obj.c,1369,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
5,16701694154231658000,20701751,write (unpersisted),1070,obj_replica_init_local at obj.c:996,obj_replica_init_local,obj.c,996,obj_replica_init at obj.c:1139,obj_replica_init,obj.c,1139,pmemobj_createU at obj.c:1369,pmemobj_createU,obj.c,1369,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
6,3528182041107170117,20703476,write (unpersisted),1070,obj_replica_init_local at obj.c:1007,obj_replica_init_local,obj.c,1007,obj_replica_init at obj.c:1139,obj_replica_init,obj.c,1139,pmemobj_createU at obj.c:1369,pmemobj_createU,obj.c,1369,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
7,7482685505837425982,24487304,flush (never modified),1892352,pmem_clwb at ../../src/../src/libpmem2/x86_64/flush.h:48,pmem_clwb,../../src/../src/libpmem2/x86_64/flush.h,48,flush_clwb_nolog at ../../src/../src/libpmem2/x86_64/flush.h:104,flush_clwb_nolog,../../src/../src/libpmem2/x86_64/flush.h,104,flush_clwb at ../../src/../src/libpmem2/x86_64/init.c:60,flush_clwb,../../src/../src/libpmem2/x86_64/init.c,60,pmem_flush at pmem.c:232,pmem_flush,pmem.c,232,pmem_persist at pmem.c:243,pmem_persist,pmem.c,243,obj_norep_persist at obj.c:464,obj_norep_persist,obj.c,464,pmemops_xpersist.664 at ./pmemops.h:51,pmemops_xpersist.664,./pmemops.h,51,lane_init_data at lane.c:320,lane_init_data,lane.c,320,obj_descr_create at obj.c:887,obj_descr_create,obj.c,887.0,pmemobj_createU at obj.c:1382,pmemobj_createU,obj.c,1382.0,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423.0,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
8,637637020775744834,236672762,write (unpersisted),1070,memcpy at libc/string/memcpy.c:29,memcpy,libc/string/memcpy.c,29,heap_boot at heap.c:1499,heap_boot,heap.c,1499,palloc_boot at palloc.c:1248,palloc_boot,palloc.c,1248,pmalloc_boot at pmalloc.c:179,pmalloc_boot,pmalloc.c,179,lane_recover_and_section_boot at lane.c:370,lane_recover_and_section_boot,lane.c,370,obj_runtime_init_common at obj.c:840,obj_runtime_init_common,obj.c,840,obj_runtime_init at obj.c:1206,obj_runtime_init,obj.c,1206,pmemobj_createU at obj.c:1388,pmemobj_createU,obj.c,1388,pmemobj_create at obj.c:1423,pmemobj_create,obj.c,1423.0,__klee_posix_wrapped_main at nvmbugs/003_pmdk_rbtree_map/driver.c:33,__klee_posix_wrapped_main,nvmbugs/003_pmdk_rbtree_map/driver.c,33.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pmemobj_create at obj.c:1423
9,11143097426530751344,508449859,fence (unnecessary),16,memory_barrier at ../../src/../src/libpmem2/x86_64/init.c:27,memory_barrier,../../src/../src/libpmem2/x86_64/init.c,27,pmem_drain at pmem.c:189,pmem_drain,pmem.c,189,obj_norep_drain at obj.c:492,obj_norep_drain,obj.c,492,pmemops_drain.1002 at ./pmemops.h:76,pmemops_drain.1002,./pmemops.h,76,palloc_exec_actions at palloc.c:559,palloc_exec_actions,palloc.c,559,palloc_operation at palloc.c:769,palloc_operation,palloc.c,769,obj_alloc_root at obj.c:2833,obj_alloc_root,obj.c,2833,pmemobj_root_construct at obj.c:2887,pmemobj_root_construct,obj.c,2887,pmemobj_root at obj.c:2912,pmemobj_root,obj.c,2912.0,__klee_posix_wrapped_main at nvmbugs/hashmap_atomic/driver.c:136,__klee_posix_wrapped_main,nvmbugs/hashmap_atomic/driver.c,136.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,palloc_exec_actions at palloc.c:559
