,ID,Timestamp,Type,Occurences,StackFrame0,StackFrame0_Function,StackFrame0_File,StackFrame0_Line,StackFrame1,StackFrame1_Function,StackFrame1_File,StackFrame1_Line,StackFrame2,StackFrame2_Function,StackFrame2_File,StackFrame2_Line,StackFrame3,StackFrame3_Function,StackFrame3_File,StackFrame3_Line,StackFrame4,StackFrame4_Function,StackFrame4_File,StackFrame4_Line,StackFrame5,StackFrame5_Function,StackFrame5_File,StackFrame5_Line,StackFrame6,StackFrame6_Function,StackFrame6_File,StackFrame6_Line,StackFrame7,StackFrame7_Function,StackFrame7_File,StackFrame7_Line,StackFrame8,StackFrame8_Function,StackFrame8_File,StackFrame8_Line,StackFrame9,StackFrame9_Function,StackFrame9_File,StackFrame9_Line,StackFrame10,StackFrame10_Function,StackFrame10_File,StackFrame10_Line,StackFrame11,StackFrame11_Function,StackFrame11_File,StackFrame11_Line,StackFrame12,StackFrame12_Function,StackFrame12_File,StackFrame12_Line,StackFrame13,StackFrame13_Function,StackFrame13_File,StackFrame13_Line,StackFrame14,StackFrame14_Function,StackFrame14_File,StackFrame14_Line,StackFrame15,StackFrame15_Function,StackFrame15_File,StackFrame15_Line,StackFrame16,StackFrame16_Function,StackFrame16_File,StackFrame16_Line,StackFrame17,StackFrame17_Function,StackFrame17_File,StackFrame17_Line,StackFrame18,StackFrame18_Function,StackFrame18_File,StackFrame18_Line,UniqueBugsAtTime,BugDiagnosis
0,14482079457336476578,10108809,write (unpersisted),981167,do_slabs_free at slabs.c:550,do_slabs_free,slabs.c,550,split_slab_page_into_freelist at slabs.c:262,split_slab_page_into_freelist,slabs.c,262.0,do_slabs_newslab_from_pmem at slabs.c:344,do_slabs_newslab_from_pmem,slabs.c,344.0,do_slabs_newslab at slabs.c:376,do_slabs_newslab,slabs.c,376.0,do_slabs_alloc at slabs.c:406,do_slabs_alloc,slabs.c,406.0,slabs_alloc at slabs.c:747,slabs_alloc,slabs.c,747.0,do_item_alloc_pull at items.c:204,do_item_alloc_pull,items.c,204.0,do_item_alloc at items.c:312,do_item_alloc,items.c,312.0,item_alloc at thread.c:538,item_alloc,thread.c,538.0,process_update_command at memcached.c:4081,process_update_command,memcached.c,4081.0,process_command at memcached.c:4678,process_command,memcached.c,4678.0,try_read_command at memcached.c:5077,try_read_command,memcached.c,5077.0,drive_machine at memcached.c:5528,drive_machine,memcached.c,5528.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,1,do_slabs_free at slabs.c:550
1,2631094405905026586,11910306,flush (unnecessary),13127,pmem_clwb at ../../src/../src/libpmem2/x86_64/flush.h:48,pmem_clwb,../../src/../src/libpmem2/x86_64/flush.h,48,flush_clwb_nolog at ../../src/../src/libpmem2/x86_64/flush.h:104,flush_clwb_nolog,../../src/../src/libpmem2/x86_64/flush.h,104.0,flush_clwb at ../../src/../src/libpmem2/x86_64/init.c:60,flush_clwb,../../src/../src/libpmem2/x86_64/init.c,60.0,pmem_flush at pmem.c:227,pmem_flush,pmem.c,227.0,do_item_link at items.c:516,do_item_link,items.c,516.0,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,2,do_item_link at items.c:516
2,14448707339436675727,11975737,write (unpersisted),36,do_item_link at items.c:538,do_item_link,items.c,538,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,do_item_link at items.c:538
3,4485866757280599014,12700838,write (unpersisted),7994,assoc_insert at assoc.c:167,assoc_insert,assoc.c,167,do_item_link at items.c:539,do_item_link,items.c,539.0,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,,,,,,,,,4,assoc_insert at assoc.c:167
4,4847896946393168766,12719061,write (unpersisted),26484,do_item_link_q at items.c:423,do_item_link_q,items.c,423,item_link_q at items.c:442,item_link_q,items.c,442.0,do_item_link at items.c:540,do_item_link,items.c,540.0,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,,,,,5,do_item_link_q at items.c:423
5,14674606880368816663,12733987,write (unpersisted),25020,do_item_link at items.c:541,do_item_link,items.c,541,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,do_item_link at items.c:541
6,15053862988542855958,13347966,write (unpersisted),15799,do_slabs_alloc at slabs.c:413,do_slabs_alloc,slabs.c,413,slabs_alloc at slabs.c:747,slabs_alloc,slabs.c,747.0,do_item_alloc_pull at items.c:204,do_item_alloc_pull,items.c,204.0,do_item_alloc at items.c:312,do_item_alloc,items.c,312.0,item_alloc at thread.c:538,item_alloc,thread.c,538.0,process_update_command at memcached.c:4081,process_update_command,memcached.c,4081.0,process_command at memcached.c:4678,process_command,memcached.c,4678.0,try_read_command at memcached.c:5077,try_read_command,memcached.c,5077.0,drive_machine at memcached.c:5528,drive_machine,memcached.c,5528.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,7,do_slabs_alloc at slabs.c:413
7,2842448408789750007,20691891,write (unpersisted),6485,lru_pull_tail at items.c:1176,lru_pull_tail,items.c,1176,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,lru_pull_tail at items.c:1176
8,5130377983407491816,20706979,write (unpersisted),9358,do_item_unlink_q at items.c:470,do_item_unlink_q,items.c,470,lru_pull_tail at items.c:1242,lru_pull_tail,items.c,1242.0,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,do_item_unlink_q at items.c:470
9,15957143896073091197,20733149,write (unpersisted),3071,lru_pull_tail at items.c:1300,lru_pull_tail,items.c,1300,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,lru_pull_tail at items.c:1300
10,145564256901394033,21372801,write (unpersisted),7893,do_item_link_q at items.c:421,do_item_link_q,items.c,421,item_link_q at items.c:442,item_link_q,items.c,442.0,lru_pull_tail at items.c:1302,lru_pull_tail,items.c,1302.0,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,do_item_link_q at items.c:421
11,11943465734652776360,21392286,write (unpersisted),43419,do_item_link_q at items.c:423,do_item_link_q,items.c,423,item_link_q at items.c:442,item_link_q,items.c,442.0,lru_pull_tail at items.c:1302,lru_pull_tail,items.c,1302.0,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,do_item_link_q at items.c:423
12,12937786348571037658,21410241,write (unpersisted),43812,do_item_remove at items.c:591,do_item_remove,items.c,591,lru_pull_tail at items.c:1305,lru_pull_tail,items.c,1305.0,lru_maintainer_juggle at items.c:1469,lru_maintainer_juggle,items.c,1469.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,do_item_remove at items.c:591
13,9526403615382718414,21499783,write (unpersisted),14905,lru_pull_tail at items.c:1176,lru_pull_tail,items.c,1176,lru_maintainer_juggle at items.c:1474,lru_maintainer_juggle,items.c,1474.0,lru_maintainer_thread at items.c:1667,lru_maintainer_thread,items.c,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,lru_pull_tail at items.c:1176
14,9757763064258861975,21544232,write (unpersisted),20,do_item_link_q at items.c:421,do_item_link_q,items.c,421,item_link_q at items.c:442,item_link_q,items.c,442.0,do_item_link at items.c:540,do_item_link,items.c,540.0,do_store_item at memcached.c:2945,do_store_item,memcached.c,2945.0,store_item at thread.c:639,store_item,thread.c,639.0,complete_nread_ascii at memcached.c:1200,complete_nread_ascii,memcached.c,1200.0,complete_nread at memcached.c:2700,complete_nread,memcached.c,2700.0,drive_machine at memcached.c:5566,drive_machine,memcached.c,5566.0,event_handler at memcached.c:5825,event_handler,memcached.c,5825.0,event_persist_closure at event.c:1645,event_persist_closure,event.c,1645.0,event_process_active_single_queue at event.c:1704,event_process_active_single_queue,event.c,1704.0,event_process_active at event.c:1805,event_process_active,event.c,1805.0,event_base_loop at event.c:2047,event_base_loop,event.c,2047.0,worker_libevent at thread.c:376,worker_libevent,thread.c,376.0,,,,,,,,,,,,,,,,,,,,,12,do_item_link_q at items.c:421
